Company Name,Position,Location,Date Posted,Job URL,Time Span
Frolic Community,Chief of Staff,"Seattle, WA 98122",,https://www.indeed.com/rc/clk?jk=062cee59f2ecfa47&bb=ev0pHprxz8EJDtY1QNFSxhCtWotCgnjsPDpwKjLPcx5v9-gJ3kzmQrZnzEtHKwwbuw7a2Sb03fiNQ9-E92V8zvoZOmtKmBCFPFojg8GVi9Rh2EtYBJy9EO2FeEyJNKGM&xkcb=SoBH67M34kgZyJSgAJ0FbzkdCdPP&fccid=88913744cf6603e7&vjs=3,7Days
iLink Digital,Business Analyst,"Seattle, WA",,https://www.indeed.com/rc/clk?jk=9cd1b1421d324e43&bb=Axd1LeWmZLQ4gp2HoG5aFcR1VWnWKHQrxsiykBsXzTlRUkVHW2lR9gu6ZR-6r9tkcOqm2l7jY9P8xsRPiGutP5jERpRBsqtdmrSJHv0hhmx8LoNgI5JireC-Ff_CLepq&xkcb=SoDM67M34kgqDRyMch0NbzkdCdPP&fccid=f651e676c7858e20&vjs=3,7Days
Seattle Theatre Group,Day-Time Custodial (Full-Time),"Seattle, WA 98101 
(Downtown area)",,https://www.indeed.com/rc/clk?jk=28bc899a603dadba&bb=dB6mX81l2ApDB5thifNdi_dpaLLZyt0kLWEbDqtBi8hYOLYlXkZGcYP6EFmBPqY2tDqChIR8NnQcfP-gCOvfG_Dul4-7CbF6HX83V9TGzYbEZ_X5o1bhJ_buavVwJTi9&xkcb=SoD067M34kg6QrxUKZ0fbzkdCdPP&fccid=5c7161789afc36d6&vjs=3,7Days
Labcorp,EHS Specialist III,"Seattle, WA 98122",,https://www.indeed.com/rc/clk?jk=e71066889bcf739e&bb=CtABlKFRDzyMn_oiwNa9w5KRkOvkdmTB61Xw8tq97J16z0_XM7zBF_y5qEIT3mY14rZQ4g6DeMM7j2cUNJd6WCp_IkvtGswlkC8OarPogPojfBmV_o-n_g2y7zAyGBaQ&xkcb=SoAj67M34kibb_wEFR0GbzkdCdPP&fccid=a3163e1f583839d0&vjs=3,7Days
Rivian,Vehicle Detailer,"Seattle, WA 98118 
(South Beacon Hill area)",,https://www.indeed.com/rc/clk?jk=1584eb4669d7dbf7&bb=D-iSRW-oDvqMvo_ESh-2cHFpClJJzO0bqHx4oF4VuY_W-G4CmC-NBafRlAB5lsJKCdFojXq6qzsiRbWX-e0FXpijOBjMcBVsiC9-DBanjYMgLUzFn-_0BAAIMDeYhPkM&xkcb=SoB767M34kirtmxUIx0MbzkdCdPP&fccid=ab392afaee93f976&vjs=3,7Days
Ericsson,Customer Cyber Security Director,"Seattle, WA",,https://www.indeed.com/rc/clk?jk=acc8aa2218e918a9&bb=iRvesSos7S1JHuCYPtZmESrtOXx-_VnvWcbO7Ntag8e2WgxY2mZrM6ATNteshjzISJGjgfQWMHkAtSKrJtWFJ9Yp4VZYATdqF81VZxrMI3_XxzM1rLrqfg%3D%3D&xkcb=SoCt67M34ki78jS4Qh0HbzkdCdPP&fccid=82656d64a9a3e6a7&vjs=3,7Days
Worldwide Flight Services,Operational Leadership Academy (SEA),"Seattle, WA",,https://www.indeed.com/rc/clk?jk=b4e5a67838d47663&bb=WQHoXEAgvrIaf8I2fUQ22P3GgD74APcTJ6qjwxnUVcL9WRskbz8_d5uic1r7p4760PQUsWFhejRzCSNuJkg2XTaJ_9kVCH9DpbWcvfRqhWyQcf2zc5uyrVp4W0nwlSxC&xkcb=SoDv67M34kjuC9ygAJ0HbzkdCdPP&fccid=9a6f2437e57a62bf&vjs=3,7Days
Ritchie Bros.,Customer Service Representative I,"Seattle, WA",,https://www.indeed.com/rc/clk?jk=ac6d9da351c1043c&bb=wDw2eSUg18eJ0fbeUAZRYQEo25nI6EExriGFQFeVm0DQdKYHsfiE3HwcxbT0KN0RW7o8ve9-G_UkjrIrPEMIPt2ZQG1cDh4uLEj_ElQnn9AS2NAviDtFg0thaaAn1FR6&xkcb=SoDV67M34kkBR5y4Qh0IbzkdCdPP&fccid=143c7479acc5b806&vjs=3,7Days
Tyler Technologies,Software Support Specialist - Data & Insights Solutions,"Seattle, WA 98104",,https://www.indeed.com/rc/clk?jk=28b7ce18843139f7&bb=wDw2eSUg18eJ0fbeUAZRYSKICDU_z5_GaSLAXOxMvJREVTQK_ejrCtaK1reU1ok0x_-IFCkkBpLke0QJtTYOYb5x7Q3NDWSFzeQ5sA7PCquO8gDfAB8H4g%3D%3D&xkcb=SoCy67M34kkBR5y4Qh0AbzkdCdPP&fccid=35fa439a19059a40&vjs=3,7Days
Starbucks,"barista - Store# 11668, 35TH & FAUNTLEROY- SEATTLE","Seattle, WA 98126 
(Fairmount Park area)",,https://www.indeed.com/rc/clk?jk=38aaa78d5a2ff896&bb=wDw2eSUg18eJ0fbeUAZRYS-wbpbeI6lwtSsvGzG0u86YeOCnXEnptrHiPtAR5pKG57NlK27p-8QpdmDw3xm5F5t9ODbhDU7Y2WvkuJlvfMhSvk9BEcS5xg%3D%3D&xkcb=SoCI67M34kkBR5y4Qh0GbzkdCdPP&fccid=a88e611ddef97571&vjs=3,7Days
