Employers_To_Delete,Locations_To_Delete
"1 Alliance Geomatics, LLC.",Aberdeen
,Airway Heights
,Anacortes
,Arlington
,Asotin
,Bainbridge Island
,Battle Ground
,Bellingham
,Benton City
,Bingen
,Blaine
,Bonney Lake
,Bremerton
,Brewster
,Bridgeport
,Brier
,Buckley
,Burlington
,Camas
,Cashmere
,Castle Rock
,Centralia
,Chehalis
,Chelan
,Cheney
,Chewelah
,Clarkston
,Cle Elum
,Colfax
,College Place
,Colville
,Connell
,Cosmopolis
,Davenport
,Dayton
,Deer Park
,DuPont
,East Wenatchee
,Edgewood
,Edmonds
,Electric City
,Ellensburg
,Elma
,Entiat
,Ephrata
,Everett
,Everson
,Ferndale
,Fife
,Fircrest
,Forks
,George
,Gig Harbor
,Gold Bar
,Goldendale
,Grand Coulee
,Grandview
,Granger
,Granite Falls
,Harrington
,Hoquiam
,Ilwaco
,Kahlotus
,Kalama
,Kelso
,Kennewick
,Kettle Falls
,Kittitas
,La Center
,Lacey
,Lake Stevens
,Lakewood
,Langley
,Leavenworth
,Liberty Lake
,Long Beach
,Longview
,Lynden
,Lynnwood
,Mabton
,Marysville
,Mattawa
,McCleary
,Medical Lake
,Mesa
,Mill Creek
,Millwood
,Milton
,Monroe
,Montesano
,Morton
,Moses Lake
,Mossyrock
,Mount Vernon
,Mountlake Terrace
,Moxee
,Mukilteo
,Napavine
,Newport
,Nooksack
,North Bonneville
,Oak Harbor
,Oakville
,Ocean Shores
,Okanogan
,Olympia
,Omak
,Oroville
,Orting
,Othello
,Palouse
,Pasco
,Pateros
,Pomeroy
,Port Angeles
,Port Orchard
,Port Townsend
,Poulsbo
,Prescott
,Prosser
,Pullman
,Puyallup
,Quincy
,Rainier
,Raymond
,Republic
,Richland
,Ridgefield
,Ritzville
,Rock Island
,Roslyn
,Roy
,Royal City
,Ruston
,Sedro-Woolley
,Selah
,Sequim
,Shelton
,Snohomish
,Soap Lake
,South Bend
,Spangle
,Spokane
,Spokane Valley
,Sprague
,Stanwood
,Stevenson
,Sultan
,Sumas
,Sumner
,Sunnyside
,Tacoma
,Tekoa
,Tenino
,Tieton
,Toledo
,Tonasket
,Toppenish
,Tumwater
,Union Gap
,University Place
,Vader
,Vancouver
,Waitsburg
,Walla Walla
,Wapato
,Warden
,Washougal
,Wenatchee
,West Richland
,Westport
,White Salmon
,Winlock
,Woodland
,Woodway
,Yakima
,Yelm
,Zillah
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
